model,annual_return,volatility,sharpe,max_drawdown,avg_turnover,trade_count,start,end,days,delta_ann_return_vs_current,delta_sharpe_vs_current,delta_max_dd_vs_current,selection_score,pass_basic,pass_strict,budget_base,budget_tech_floor,budget_ind_floor,budget_energy_floor,budget_risk_floor,budget_crash_floor,budget_move_floor,budget_tech_mult,budget_ind_mult,budget_energy_mult,budget_risk_mult,budget_crash_mult,budget_move_mult,budget_min,budget_max,vol_target,vol_floor,vol_scale_min,vol_scale_max,hard_risk_off_max,hard_crash_max,tqqq_growth_min,tqqq_soxx_min,tqqq_risk_off_max,uxi_industrial_min,uxi_credit_min,uxi_copper_min,uxi_materials_min,uxi_risk_off_max,erx_war_min,erx_credit_min,erx_risk_off_max,score_base,tqqq_priority,uxi_priority,erx_priority,krw_bonus,tech_dominance_min,tech_dominance_boost,tqqq_abs_max,uxi_abs_max,erx_abs_max,instability_mid,instability_slope,instability_cut,opportunity_mid,opportunity_slope,opportunity_boost,leader_flip_cut,entropy_floor,entropy_cut,danger_transition_cut,danger_transition_cap,wide_gap_min,wide_gap_boost,conviction_scale_min,conviction_scale_max
CONVICTION_00024,0.7872262099142973,0.2053267474748195,3.8340168516566004,-0.12416606066478242,1.0456333636976858,65,2023-10-18,2026-05-11,642,0.13407883710556612,0.10172850052121873,-0.02166665570127646,0.17369071138468045,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00003,0.7750934421243072,0.2017512142800845,3.841827891297203,-0.12080029516959512,1.0425786050191574,65,2023-10-18,2026-05-11,642,0.12194606931557606,0.10953954016182132,-0.01830089020608916,0.17276675614294804,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00018,0.7923234396208272,0.20705150033579414,3.826697407822907,-0.12482857872213915,1.0458798425643963,65,2023-10-18,2026-05-11,642,0.13917606681209604,0.09440905668752508,-0.022329173758633192,0.1720516139003123,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00001,0.7843566691463575,0.2046637970479851,3.8324153096918194,-0.12288043145460537,1.043866938818275,65,2023-10-18,2026-05-11,642,0.13120929633762635,0.10012695855643772,-0.020381026491099408,0.17154119640864313,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00007,0.7790349670407235,0.20301148877857317,3.83739349791393,-0.12221752231239613,1.0438440143949932,65,2023-10-18,2026-05-11,642,0.12588759423199236,0.10510514677854843,-0.019718117348890174,0.1711792121981555,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00038,0.7962978072157556,0.20836348289354079,3.821676409693191,-0.1258394925006826,1.050756840344989,65,2023-10-18,2026-05-11,642,0.14315043440702446,0.08938805855780929,-0.023340087537176646,0.1704867928519531,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.22,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00005,0.786921496036465,0.20555496071811824,3.8282778157593906,-0.12389199261907025,1.0448589245012934,65,2023-10-18,2026-05-11,642,0.13377412322773385,0.09598946462400892,-0.021392587655564288,0.16942930297288428,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.05,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00004,0.7798402052407807,0.20340967512693098,3.8338402770376954,-0.12274973383008392,1.0443403403867542,65,2023-10-18,2026-05-11,642,0.12669283243204954,0.10155192590231366,-0.02025032886657796,0.16850652214273365,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00022,0.7944535421623458,0.2079154636265986,3.8210411496334293,-0.12583949250068271,1.0470324845078636,65,2023-10-18,2026-05-11,642,0.14130616935361462,0.08875279849804762,-0.023340087537176757,0.16836741728222404,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.65,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00008,0.7837045159828504,0.20467448212100514,3.829028943234449,-0.12416606066478264,1.0456333636976858,65,2023-10-18,2026-05-11,642,0.13055714317411926,0.09674059209906716,-0.021666655701276682,0.16655853920738248,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.35,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00002,0.7883806801215458,0.20629008408244617,3.8217090444660466,-0.12482857872213948,1.0458798425643965,65,2023-10-18,2026-05-11,642,0.1352333073128147,0.08942069333066494,-0.022329173758633525,0.16451986513405498,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.0,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
CONVICTION_00006,0.7904796025584888,0.20714967307481197,3.8159828631397725,-0.1258394925006826,1.0470324845078636,65,2023-10-18,2026-05-11,642,0.13733222974975767,0.08369451200439082,-0.023340087537176646,0.16075292091848195,True,False,0.2,-0.1,-0.1,0.1,0.4,1.2,1.2,0.25,0.1,0.05,0.25,0.2,0.08,0.0,0.85,0.18,0.08,0.55,1.0,1.6,2.5,-0.1,-0.1,1.25,-0.2,-0.7,-0.1,-0.25,1.25,0.0,-0.6,0.8,0.5,2.5,0.8,0.35,0.05,0.5,1.25,0.75,0.35,0.25,0.25,1.25,0.25,0.25,1.0,0.1,0.08,0.55,0.08,0.1,2.0,0.012,0.04,0.5,1.1
