date,horizon_trading_days,with_emergency_return,without_emergency_return,effect
2025-05-09,10,0.12471769185193904,0.12471769185193904,0.0
2025-05-09,21,0.19521952336309445,0.19521952336309445,0.0
2025-05-12,1,0.10784117732625087,0.10784117732625087,0.0
2025-05-12,2,0.15525609547612196,0.15525609547612196,0.0
2025-05-12,5,0.1537671394339264,0.1537671394339264,0.0
2025-05-12,10,0.08864796461388869,0.08864796461388869,0.0
2025-05-12,21,0.20304179150261437,0.20304179150261437,0.0
2025-05-13,1,0.04279938236661862,0.04279938236661862,0.0
2025-05-13,2,0.050883257002223736,0.050883257002223736,0.0
2025-05-13,5,0.033451922687970814,0.033451922687970814,0.0
2025-05-13,10,0.029048547686894022,0.029048547686894022,0.0
2025-05-13,21,0.09500036449887572,0.09500036449887572,0.0
2025-05-14,1,0.007752089972722143,0.007752089972722143,0.0
2025-05-14,2,-0.0006404041349001854,-0.0006404041349001854,0.0
2025-05-14,5,-0.012117642929228567,-0.012117642929228567,0.0
2025-05-14,10,-0.025160152291962223,-0.025160152291962223,0.0
2025-05-14,21,0.05498559160415417,0.05498559160415417,0.0
2025-05-15,1,-0.008327935204629044,-0.008327935204629044,0.0
2025-05-15,2,-0.008971396555379041,-0.008971396555379041,0.0
2025-05-15,5,-0.04755707369646911,-0.04755707369646911,0.0
2025-05-15,10,-0.02720594922484143,-0.02720594922484143,0.0
2025-05-15,21,0.05394598406622686,0.05394598406622686,0.0
2025-05-16,1,-0.0006488650569004273,-0.0006488650569004273,0.0
2025-05-16,2,-0.008328743603734035,-0.008328743603734035,0.0
2025-05-16,5,-0.03858730125281329,-0.03858730125281329,0.0
2025-05-16,10,-0.024418616313934383,-0.024418616313934383,0.0
2025-05-16,21,0.06952066833278425,0.06952066833278425,0.0
2025-05-19,1,-0.007684864987190787,-0.007684864987190787,0.0
2025-05-19,2,-0.010842764009327155,-0.010842764009327155,0.0
2025-05-19,5,-0.05644048317408945,-0.05644048317408945,0.0
2025-05-19,10,-0.00556251998952062,-0.00556251998952062,0.0
2025-05-19,21,0.07210009088082536,0.07210009088082536,0.0
2025-05-20,1,-0.003182354990580283,-0.003182354990580283,0.0
2025-05-20,2,-0.0314921260204708,-0.0314921260204708,0.0
2025-05-20,5,-0.0042608416554337225,-0.0042608416554337225,0.0
2025-05-20,10,0.020749925039611483,0.020749925039611483,0.0
