date,turnover,raw_budget,total_budget_before_vol,realized_vol_now,vol_scale,total_budget_before_conviction,total_budget,tech_state,industrial_state,energy_state,transition_instability_z,opportunity_stability_z,leader_flip_4,signal_entropy,danger_transition,score_gap_inferred,instability_penalty,opportunity_bonus,conviction_scale,score_TQQQ,score_UXI,score_ERX,target_TQQQ,target_UXI,target_ERX,allowed_TQQQ,allowed_UXI,allowed_ERX,exec_w_TQQQ,exec_w_UXI,exec_w_ERX,exec_w_QQQM,exec_w_XLE,exec_w_XSOE,exec_w_XLI,exec_w_XLB,exec_w_BIL,budget_reason
2024-03-12,2.0,0.3043057705498892,0.3043057705498892,0.12282953380278708,1.0,0.3043057705498892,0.24554164074480284,0.22738710678618876,1.370989008919336,0.01097447780370084,0.0,0.0,0.5,0.37561496315083553,0.0,0.0023003750358142,0.5,0.43782349911420193,0.80689117495571,0.0,0.6627164828541876,0.0,0.0,0.24554164074480284,0.0,False,True,False,0.0,0.24554164074480284,0.0,0.0,0.0,0.0,0.1544583592551972,0.6,0.0,
2024-03-26,1.340667468085887,0.2962669489242541,0.2962669489242541,0.10056304563212462,1.0,0.2962669489242541,0.23312984753954966,-0.37615020235903324,0.9467858125400781,0.32957795968251036,0.0,0.0,0.75,0.37561496315083553,0.0,0.0027168620010378,0.5,0.43782349911420193,0.7868911749557101,0.0,0.5269714600128251,0.17421137153332716,0.0,0.17520790670185935,0.057921940837690304,False,True,True,0.0,0.17520790670185935,0.057921940837690304,0.0,0.5420780591623097,0.0,0.22479209329814068,0.0,0.0,
2024-04-10,2.0,0.3894625644603733,0.3894625644603733,0.09626753901269633,1.0,0.3894625644603733,0.2985473027837108,-0.7861032508075234,1.803923667672887,0.5193309890956193,0.0,0.0,1.0,-0.0,0.0032891704687039724,0.002886912504567,0.5,0.43782349911420193,0.7665622579088397,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-24,2.0,0.21952651507481305,0.21952651507481305,0.11903768779631646,1.0,0.21952651507481305,0.16774002138857302,-1.137609650522337,1.8589452918429892,0.25261795272343435,0.0,0.0,0.75,0.37561496315083553,0.22792034897806726,0.0011510072096705,0.5,0.43782349911420193,0.7640991400579035,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,
2024-05-08,0.0,0.3116815405831309,0.3116815405831309,0.1365290898398675,1.0,0.3116815405831309,0.25149308449312835,-0.7115820613357982,1.0095972531324588,0.1144363053977002,0.0,0.0,0.5,0.37561496315083553,0.0,0.0037195578412389,0.5,0.43782349911420193,0.80689117495571,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,
2024-05-22,1.2,0.5924165367779083,0.5924165367779083,0.10974592302543694,1.0,0.5924165367779083,0.47801567542391904,1.290061104447524,0.34901260666027223,-0.21194563062828845,0.0,0.0,0.5,0.37561496315083553,0.0,0.0028815784639418,0.5,0.43782349911420193,0.80689117495571,3.543864570839108,0.0,0.0,0.47801567542391904,0.0,0.0,True,False,False,0.47801567542391904,0.0,0.0,0.12198432457608094,0.0,0.0,0.0,0.4,0.0,
2024-06-06,0.19024282456031305,0.4714207095311598,0.4714207095311598,0.09836943262575798,1.0,0.4714207095311598,0.3828942631437625,0.985682838124639,-0.6038444530836433,-0.2545655377382898,0.0,0.0,0.25,0.37561496315083553,0.14677677749444212,0.0031340571534346,0.5,0.43782349911420193,0.8122134972062659,2.973155321483698,0.0,0.0,0.3828942631437625,0.0,0.0,True,False,False,0.3828942631437625,0.0,0.0,0.21710573685623746,0.0,0.0,0.0,0.4,0.0,
2024-06-21,0.9877860157474189,0.3496117252844926,0.3496117252844926,0.09833377099468699,1.0,0.3496117252844926,0.2890012552700531,0.9605834355344577,-1.985467563494649,-0.3590880306476169,0.0,0.0,0.25,0.37561496315083553,0.002562700912304808,0.0036520476628552,0.5,0.43782349911420193,0.8266349048644795,2.926093941627108,0.0,0.0,0.2890012552700531,0.0,0.0,True,False,False,0.2890012552700531,0.0,0.0,0.3109987447299469,0.0,0.0,0.4,0.0,0.0,
2024-07-08,0.9184401622883523,0.42112111842635236,0.42112111842635236,0.07266936993238746,1.0,0.42112111842635236,0.34822133641422925,0.7844844737054093,-0.8547173622910396,-0.2135037449124294,0.0,0.0,0.25,0.37561496315083553,0.0,0.002676222816402,0.5,0.43782349911420193,0.8268911749557101,2.5959083881976417,0.0,0.0,0.34822133641422925,0.0,0.0,True,False,False,0.34822133641422925,0.0,0.0,0.2517786635857707,0.0,0.0,0.0,0.4,0.0,
2024-07-22,1.2,0.061923772118783665,0.061923772118783665,0.09971976107434134,1.0,0.061923772118783665,0.03881946626123393,-1.3248727999404364,-1.0048413469054258,-0.1693575502961756,0.0,0.0,0.25,0.37561496315083553,4.373672308718481,0.0012374352967926,0.5,0.43782349911420193,0.62689117495571,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,
2024-08-05,0.8,,,,,,0.0,,,,2.773013061327122,-4.09406206323823,,,,,,,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,hard risk off
2024-08-19,1.0802924708700903,0.20328075532280213,0.20328075532280213,0.1992887674753835,1.0,0.20328075532280213,0.14014623543504515,-0.5987725661156647,-0.21015295303105086,0.1656151064560422,1.6660095181563683,-0.10247057670365209,0.25,0.37561496315083553,0.0,0.0006134845032911,0.8891917720387654,0.4127834411514332,0.6894220518440038,0.0,0.0,0.13977917235576884,0.0,0.0,0.14014623543504515,False,False,True,0.0,0.0,0.14014623543504515,0.0,0.45985376456495486,0.0,0.0,0.4,0.0,
2024-09-03,2.0,0.2,0.2,0.18442706187438793,1.0,0.2,0.1825856736255829,-0.3091532475100478,-0.37094595774883926,-0.1500573976741947,-1.1053995893820008,0.10440158536952292,0.5,-0.0,0.0,0.0009327516892363,0.20072817148374292,0.46366456294449027,0.9129283681279144,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-09-17,2.0,0.13268900347783033,0.13268900347783033,0.1610296564440222,1.0,0.13268900347783033,0.08734460354131256,-1.2747601434121185,0.31561903124446467,-0.3142250066587688,0.49443940800764064,-1.0243251171970824,0.5,0.37561496315083553,0.852391466678031,0.0011038534203957,0.6497747533107623,0.2185177624217211,0.6582655777945162,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,
2024-10-01,0.3999999999999999,0.28566778242718616,0.28566778242718616,0.16399375540039254,1.0,0.28566778242718616,0.2240286395961727,-0.6557304255585935,0.9691490861526403,-0.06400559734409952,-0.0283791734763306,-0.49237652827573875,0.75,0.37561496315083553,0.0,0.0011062233662516,0.49113243818251023,0.32248468120978496,0.7842278806966108,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,
2024-10-15,0.3999999999999999,0.2284275689652653,0.2284275689652653,0.13175960293517275,1.0,0.2284275689652653,0.167354436974962,-0.02017620268639555,-0.06630734036731348,0.20204707347191075,0.32047546040269065,0.027278156853263753,1.0,0.37561496315083553,0.0,0.003657056690218,0.5988304448222068,0.44454857235588435,0.7326367729300219,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,
2024-10-29,0.0,0.25544185911887884,0.25544185911887884,0.10986837484901735,1.0,0.25544185911887884,0.2134611828618352,0.12176743647551536,-0.5949995601219056,-0.2914427904493804,-0.42303460793679865,0.28473198723588083,0.75,0.37561496315083553,0.0,0.0023680016024368,0.3707983849479087,0.5086821240480839,0.8356546714706361,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,
2024-11-12,0.0,0.2,0.2,0.13682325003220003,1.0,0.2,0.1592473590811842,-1.1610373092739745,-0.7649886374123366,-0.4183476622439813,0.0926616061370418,-0.04325628812965231,0.5,0.37561496315083553,0.0,0.0010489797764359,0.5289244218937796,0.42720686137487646,0.796236795405921,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,
2024-11-26,1.1787311555027837,0.2057937881598352,0.2057937881598352,0.13321939638495767,1.0,0.2057937881598352,0.18936557775139182,-1.3572332691608047,-0.7612519052226437,0.21587576319670387,-1.0882871291166871,-0.30577055872121917,0.25,0.37561496315083553,0.06591144945574733,0.0005608708476039,0.20418197597040622,0.3645266344598428,0.9201714951877752,0.0,0.0,0.1503339102713078,0.0,0.0,0.18936557775139182,False,False,True,0.0,0.0,0.18936557775139182,0.4,0.41063442224860813,0.0,0.0,0.0,0.0,
2024-12-11,2.0,0.2,0.2,0.09312393458534243,1.0,0.2,0.19100520486361597,-0.26959257067546427,-0.2563818215556267,-0.3746660245632016,-1.0308327067481788,0.7108663284331189,0.0,-0.0,0.0,0.0005620124756685,0.21609988383285708,0.6132196731915956,0.9550260243180798,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-12-26,0.0,0.41675133767276074,0.41675133767276074,0.13156599870912794,1.0,0.41675133767276074,0.4049284141655255,0.7670053506910428,-0.5990793777885837,-0.21156579995906402,-1.1359926933185767,1.6069041368981911,0.0,-0.0,0.0,0.0048441556999185,0.19466301541698602,0.795256078118769,0.9716307485099933,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-01-13,2.0,0.4956988018320193,0.4956988018320193,0.14488144648146867,1.0,0.4956988018320193,0.4170548775491713,0.7580916614675135,0.5038213242782108,0.9352095008818593,-0.09369946061346376,0.4467063682769045,0.25,0.37561496315083553,0.013402521139444236,0.0028491199567817,0.47075234612178224,0.5490186357844602,0.8413473585326547,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,
